selected_num:56
selected decision variable:cluster0:[2,3,4,5,6],cluster1:[2,3,4,5,6],cluster2:[2,3,4,5,6],cluster3:[2,3,4,5,6],cluster5:[2,3,4,5,6],cluster6:[2,3,4,5,6],cluster8:[2,3,4,5,6],cluster9:[2,3,4,5,6],reward12:[2,3],reward15:[2,3],reward37:[2,3],reward38:[2,3],reward4:[2,3],reward44:[2,3],reward49:[2,3],reward7:[2,3]
Formulation_explanation:The objective function is designed to improve user satisfaction by maximizing the revenue from trips while considering vehicle allocation costs. By summing the average trip revenue from demand regions and subtracting the allocation costs, we aim to balance revenue generation with operational efficiency. This formulation ensures a sensible and convex objective function without using quadratic terms, maximum/minimum functions, absolute values, or product of decision variables.
temp_text:model.setObjective(gp.quicksum(model.getVarByName(f'avg_reward{j}_{k}') - w[i][j] * model.getVarByName(f'cluster{i}_cluster{j}_{k}') for i in S for j in D for k in K), GRB.MAXIMIZE)
LEO_optimize_time:52.22387409210205
LEO_result:[2837.0353993694293, -12945.62025553995]
base_optimize_time:140.3203649520874
base_result:[2898.850337759408, -7994.396882801782]
Optimization gap 1: 2.13%
Optimization gap 2: 61.93%
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 1.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = -0.0
cluster0_cluster12_2 = 1.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = -0.0
cluster0_cluster15_2 = -0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = -0.0
cluster0_cluster37_2 = -0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 2.0
cluster0_cluster38_2 = 0.0
cluster0_cluster44_0 = 1.0
cluster0_cluster44_1 = 1.0
cluster0_cluster44_2 = 2.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = -0.0
cluster0_cluster49_2 = -0.0
cluster1_cluster4_0 = -0.0
cluster1_cluster4_1 = 3.0
cluster1_cluster4_2 = 0.0
cluster1_cluster7_0 = 0.0
cluster1_cluster7_1 = 1.0
cluster1_cluster7_2 = 5.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = 12.0
cluster1_cluster12_2 = 2.0
cluster1_cluster15_0 = 13.0
cluster1_cluster15_1 = -0.0
cluster1_cluster15_2 = 6.0
cluster1_cluster37_0 = -0.0
cluster1_cluster37_1 = 0.0
cluster1_cluster37_2 = 13.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = 7.0
cluster1_cluster38_2 = -0.0
cluster1_cluster44_0 = -0.0
cluster1_cluster44_1 = -0.0
cluster1_cluster44_2 = 6.0
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = 3.0
cluster1_cluster49_2 = 8.0
cluster2_cluster4_0 = 0.0
cluster2_cluster4_1 = 2.0
cluster2_cluster4_2 = 0.0
cluster2_cluster7_0 = 0.0
cluster2_cluster7_1 = 31.0
cluster2_cluster7_2 = 49.0
cluster2_cluster12_0 = 0.0
cluster2_cluster12_1 = 13.0
cluster2_cluster12_2 = 102.0
cluster2_cluster15_0 = 0.0
cluster2_cluster15_1 = 92.0
cluster2_cluster15_2 = 2.0
cluster2_cluster37_0 = 0.0
cluster2_cluster37_1 = -0.0
cluster2_cluster37_2 = 4.0
cluster2_cluster38_0 = 0.0
cluster2_cluster38_1 = -0.0
cluster2_cluster38_2 = 84.0
cluster2_cluster44_0 = 0.0
cluster2_cluster44_1 = 8.0
cluster2_cluster44_2 = 9.0
cluster2_cluster49_0 = 0.0
cluster2_cluster49_1 = 17.0
cluster2_cluster49_2 = 22.0
cluster3_cluster4_0 = 0.0
cluster3_cluster4_1 = 0.0
cluster3_cluster4_2 = 0.0
cluster3_cluster7_0 = 0.0
cluster3_cluster7_1 = 0.0
cluster3_cluster7_2 = 0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = 0.0
cluster3_cluster12_2 = 0.0
cluster3_cluster15_0 = 1.0
cluster3_cluster15_1 = 2.0
cluster3_cluster15_2 = 2.0
cluster3_cluster37_0 = 0.0
cluster3_cluster37_1 = 0.0
cluster3_cluster37_2 = -0.0
cluster3_cluster38_0 = 0.0
cluster3_cluster38_1 = -0.0
cluster3_cluster38_2 = 0.0
cluster3_cluster44_0 = 0.0
cluster3_cluster44_1 = 0.0
cluster3_cluster44_2 = 0.0
cluster3_cluster49_0 = 0.0
cluster3_cluster49_1 = -0.0
cluster3_cluster49_2 = 2.0
cluster5_cluster4_0 = 0.0
cluster5_cluster4_1 = 0.0
cluster5_cluster4_2 = 0.0
cluster5_cluster7_0 = 0.0
cluster5_cluster7_1 = 1.0
cluster5_cluster7_2 = 2.0
cluster5_cluster12_0 = 1.0
cluster5_cluster12_1 = 1.0
cluster5_cluster12_2 = 0.0
cluster5_cluster15_0 = 3.0
cluster5_cluster15_1 = 6.0
cluster5_cluster15_2 = -0.0
cluster5_cluster37_0 = 0.0
cluster5_cluster37_1 = 1.0
cluster5_cluster37_2 = -0.0
cluster5_cluster38_0 = -0.0
cluster5_cluster38_1 = -0.0
cluster5_cluster38_2 = 3.0
cluster5_cluster44_0 = -0.0
cluster5_cluster44_1 = 1.0
cluster5_cluster44_2 = 0.0
cluster5_cluster49_0 = -0.0
cluster5_cluster49_1 = -0.0
cluster5_cluster49_2 = 1.0
cluster6_cluster4_0 = -0.0
cluster6_cluster4_1 = 0.0
cluster6_cluster4_2 = 0.0
cluster6_cluster7_0 = 0.0
cluster6_cluster7_1 = 0.0
cluster6_cluster7_2 = 3.0
cluster6_cluster12_0 = -0.0
cluster6_cluster12_1 = 0.0
cluster6_cluster12_2 = 0.0
cluster6_cluster15_0 = -0.0
cluster6_cluster15_1 = -0.0
cluster6_cluster15_2 = 0.0
cluster6_cluster37_0 = -0.0
cluster6_cluster37_1 = -0.0
cluster6_cluster37_2 = 0.0
cluster6_cluster38_0 = -0.0
cluster6_cluster38_1 = -0.0
cluster6_cluster38_2 = 0.0
cluster6_cluster44_0 = 2.0
cluster6_cluster44_1 = 5.0
cluster6_cluster44_2 = 0.0
cluster6_cluster49_0 = -0.0
cluster6_cluster49_1 = -0.0
cluster6_cluster49_2 = 0.0
cluster8_cluster4_0 = 0.0
cluster8_cluster4_1 = 0.0
cluster8_cluster4_2 = 0.0
cluster8_cluster7_0 = 0.0
cluster8_cluster7_1 = 0.0
cluster8_cluster7_2 = 0.0
cluster8_cluster12_0 = 0.0
cluster8_cluster12_1 = -0.0
cluster8_cluster12_2 = 2.0
cluster8_cluster15_0 = 0.0
cluster8_cluster15_1 = 0.0
cluster8_cluster15_2 = 2.0
cluster8_cluster37_0 = 0.0
cluster8_cluster37_1 = 0.0
cluster8_cluster37_2 = 0.0
cluster8_cluster38_0 = 0.0
cluster8_cluster38_1 = 2.0
cluster8_cluster38_2 = 0.0
cluster8_cluster44_0 = 1.0
cluster8_cluster44_1 = 2.0
cluster8_cluster44_2 = 0.0
cluster8_cluster49_0 = 0.0
cluster8_cluster49_1 = -0.0
cluster8_cluster49_2 = -0.0
cluster9_cluster4_0 = 0.0
cluster9_cluster4_1 = 0.0
cluster9_cluster4_2 = 0.0
cluster9_cluster7_0 = 0.0
cluster9_cluster7_1 = 0.0
cluster9_cluster7_2 = 0.0
cluster9_cluster12_0 = 1.0
cluster9_cluster12_1 = 2.0
cluster9_cluster12_2 = 2.0
cluster9_cluster15_0 = 0.0
cluster9_cluster15_1 = 0.0
cluster9_cluster15_2 = -0.0
cluster9_cluster37_0 = 0.0
cluster9_cluster37_1 = -0.0
cluster9_cluster37_2 = -0.0
cluster9_cluster38_0 = 0.0
cluster9_cluster38_1 = 1.0
cluster9_cluster38_2 = -0.0
cluster9_cluster44_0 = 0.0
cluster9_cluster44_1 = 1.0
cluster9_cluster44_2 = -0.0
cluster9_cluster49_0 = 0.0
cluster9_cluster49_1 = -0.0
cluster9_cluster49_2 = -0.0
cluster10_cluster4_0 = 0.0
cluster10_cluster4_1 = -0.0
cluster10_cluster4_2 = -0.0
cluster10_cluster7_0 = 0.0
cluster10_cluster7_1 = 0.0
cluster10_cluster7_2 = 1.0
cluster10_cluster12_0 = 0.0
cluster10_cluster12_1 = -0.0
cluster10_cluster12_2 = -0.0
cluster10_cluster15_0 = 0.0
cluster10_cluster15_1 = 1.0
cluster10_cluster15_2 = 4.0
cluster10_cluster37_0 = 0.0
cluster10_cluster37_1 = -0.0
cluster10_cluster37_2 = -0.0
cluster10_cluster38_0 = 0.0
cluster10_cluster38_1 = -0.0
cluster10_cluster38_2 = -0.0
cluster10_cluster44_0 = 0.0
cluster10_cluster44_1 = -0.0
cluster10_cluster44_2 = 0.0
cluster10_cluster49_0 = 0.0
cluster10_cluster49_1 = 1.0
cluster10_cluster49_2 = 0.0
cluster11_cluster4_0 = -0.0
cluster11_cluster4_1 = 1.0
cluster11_cluster4_2 = -0.0
cluster11_cluster7_0 = -0.0
cluster11_cluster7_1 = 0.0
cluster11_cluster7_2 = -0.0
cluster11_cluster12_0 = -0.0
cluster11_cluster12_1 = 0.0
cluster11_cluster12_2 = -0.0
cluster11_cluster15_0 = -0.0
cluster11_cluster15_1 = 1.0
cluster11_cluster15_2 = 1.0
cluster11_cluster37_0 = -0.0
cluster11_cluster37_1 = 0.0
cluster11_cluster37_2 = -0.0
cluster11_cluster38_0 = -0.0
cluster11_cluster38_1 = 0.0
cluster11_cluster38_2 = -0.0
cluster11_cluster44_0 = 2.0
cluster11_cluster44_1 = 0.0
cluster11_cluster44_2 = 2.0
cluster11_cluster49_0 = -0.0
cluster11_cluster49_1 = 0.0
cluster11_cluster49_2 = 1.0
cluster13_cluster4_0 = -0.0
cluster13_cluster4_1 = 0.0
cluster13_cluster4_2 = 2.0
cluster13_cluster7_0 = -0.0
cluster13_cluster7_1 = -0.0
cluster13_cluster7_2 = 2.0
cluster13_cluster12_0 = 1.0
cluster13_cluster12_1 = 2.0
cluster13_cluster12_2 = -0.0
cluster13_cluster15_0 = 0.0
cluster13_cluster15_1 = 0.0
cluster13_cluster15_2 = 1.0
cluster13_cluster37_0 = -0.0
cluster13_cluster37_1 = 2.0
cluster13_cluster37_2 = 2.0
cluster13_cluster38_0 = 1.0
cluster13_cluster38_1 = 0.0
cluster13_cluster38_2 = 3.0
cluster13_cluster44_0 = 1.0
cluster13_cluster44_1 = 3.0
cluster13_cluster44_2 = 0.0
cluster13_cluster49_0 = -0.0
cluster13_cluster49_1 = -0.0
cluster13_cluster49_2 = -0.0
cluster14_cluster4_0 = 0.0
cluster14_cluster4_1 = 1.0
cluster14_cluster4_2 = 1.0
cluster14_cluster7_0 = 0.0
cluster14_cluster7_1 = -0.0
cluster14_cluster7_2 = -0.0
cluster14_cluster12_0 = 0.0
cluster14_cluster12_1 = 2.0
cluster14_cluster12_2 = 1.0
cluster14_cluster15_0 = 0.0
cluster14_cluster15_1 = 3.0
cluster14_cluster15_2 = 0.0
cluster14_cluster37_0 = 0.0
cluster14_cluster37_1 = -0.0
cluster14_cluster37_2 = 5.0
cluster14_cluster38_0 = 0.0
cluster14_cluster38_1 = -0.0
cluster14_cluster38_2 = -0.0
cluster14_cluster44_0 = 0.0
cluster14_cluster44_1 = -0.0
cluster14_cluster44_2 = -0.0
cluster14_cluster49_0 = 0.0
cluster14_cluster49_1 = -0.0
cluster14_cluster49_2 = -0.0
cluster16_cluster4_0 = 0.0
cluster16_cluster4_1 = -0.0
cluster16_cluster4_2 = -0.0
cluster16_cluster7_0 = 0.0
cluster16_cluster7_1 = 1.0
cluster16_cluster7_2 = 0.0
cluster16_cluster12_0 = 0.0
cluster16_cluster12_1 = -0.0
cluster16_cluster12_2 = 0.0
cluster16_cluster15_0 = 0.0
cluster16_cluster15_1 = 0.0
cluster16_cluster15_2 = 4.0
cluster16_cluster37_0 = 0.0
cluster16_cluster37_1 = 0.0
cluster16_cluster37_2 = -0.0
cluster16_cluster38_0 = 0.0
cluster16_cluster38_1 = 1.0
cluster16_cluster38_2 = 1.0
cluster16_cluster44_0 = 0.0
cluster16_cluster44_1 = 0.0
cluster16_cluster44_2 = 1.0
cluster16_cluster49_0 = 0.0
cluster16_cluster49_1 = -0.0
cluster16_cluster49_2 = -0.0
cluster17_cluster4_0 = 0.0
cluster17_cluster4_1 = 1.0
cluster17_cluster4_2 = -0.0
cluster17_cluster7_0 = 0.0
cluster17_cluster7_1 = -0.0
cluster17_cluster7_2 = 1.0
cluster17_cluster12_0 = 0.0
cluster17_cluster12_1 = 0.0
cluster17_cluster12_2 = 0.0
cluster17_cluster15_0 = 0.0
cluster17_cluster15_1 = -0.0
cluster17_cluster15_2 = -0.0
cluster17_cluster37_0 = 0.0
cluster17_cluster37_1 = 1.0
cluster17_cluster37_2 = -0.0
cluster17_cluster38_0 = 0.0
cluster17_cluster38_1 = -0.0
cluster17_cluster38_2 = -0.0
cluster17_cluster44_0 = 0.0
cluster17_cluster44_1 = 1.0
cluster17_cluster44_2 = 7.0
cluster17_cluster49_0 = 0.0
cluster17_cluster49_1 = 1.0
cluster17_cluster49_2 = -0.0
cluster18_cluster4_0 = 0.0
cluster18_cluster4_1 = 0.0
cluster18_cluster4_2 = -0.0
cluster18_cluster7_0 = 0.0
cluster18_cluster7_1 = -0.0
cluster18_cluster7_2 = -0.0
cluster18_cluster12_0 = 0.0
cluster18_cluster12_1 = -0.0
cluster18_cluster12_2 = 0.0
cluster18_cluster15_0 = 0.0
cluster18_cluster15_1 = -0.0
cluster18_cluster15_2 = -0.0
cluster18_cluster37_0 = 0.0
cluster18_cluster37_1 = 1.0
cluster18_cluster37_2 = 0.0
cluster18_cluster38_0 = 0.0
cluster18_cluster38_1 = 1.0
cluster18_cluster38_2 = 6.0
cluster18_cluster44_0 = 0.0
cluster18_cluster44_1 = 0.0
cluster18_cluster44_2 = -0.0
cluster18_cluster49_0 = 0.0
cluster18_cluster49_1 = -0.0
cluster18_cluster49_2 = -0.0
cluster19_cluster4_0 = -0.0
cluster19_cluster4_1 = 1.0
cluster19_cluster4_2 = 2.0
cluster19_cluster7_0 = -0.0
cluster19_cluster7_1 = -0.0
cluster19_cluster7_2 = -0.0
cluster19_cluster12_0 = -0.0
cluster19_cluster12_1 = 1.0
cluster19_cluster12_2 = 1.0
cluster19_cluster15_0 = 2.0
cluster19_cluster15_1 = 8.0
cluster19_cluster15_2 = 3.0
cluster19_cluster37_0 = 0.0
cluster19_cluster37_1 = 0.0
cluster19_cluster37_2 = -0.0
cluster19_cluster38_0 = -0.0
cluster19_cluster38_1 = -0.0
cluster19_cluster38_2 = -0.0
cluster19_cluster44_0 = -0.0
cluster19_cluster44_1 = -0.0
cluster19_cluster44_2 = -0.0
cluster19_cluster49_0 = -0.0
cluster19_cluster49_1 = -0.0
cluster19_cluster49_2 = -0.0
cluster20_cluster4_0 = -0.0
cluster20_cluster4_1 = 0.0
cluster20_cluster4_2 = 1.0
cluster20_cluster7_0 = -0.0
cluster20_cluster7_1 = -0.0
cluster20_cluster7_2 = -0.0
cluster20_cluster12_0 = -0.0
cluster20_cluster12_1 = 1.0
cluster20_cluster12_2 = 1.0
cluster20_cluster15_0 = -0.0
cluster20_cluster15_1 = -0.0
cluster20_cluster15_2 = -0.0
cluster20_cluster37_0 = -0.0
cluster20_cluster37_1 = 0.0
cluster20_cluster37_2 = -0.0
cluster20_cluster38_0 = -0.0
cluster20_cluster38_1 = -0.0
cluster20_cluster38_2 = 1.0
cluster20_cluster44_0 = 2.0
cluster20_cluster44_1 = 1.0
cluster20_cluster44_2 = -0.0
cluster20_cluster49_0 = -0.0
cluster20_cluster49_1 = 1.0
cluster20_cluster49_2 = 1.0
cluster21_cluster4_0 = 0.0
cluster21_cluster4_1 = 0.0
cluster21_cluster4_2 = 0.0
cluster21_cluster7_0 = 0.0
cluster21_cluster7_1 = -0.0
cluster21_cluster7_2 = 0.0
cluster21_cluster12_0 = 0.0
cluster21_cluster12_1 = -0.0
cluster21_cluster12_2 = 3.0
cluster21_cluster15_0 = 0.0
cluster21_cluster15_1 = -0.0
cluster21_cluster15_2 = -0.0
cluster21_cluster37_0 = 0.0
cluster21_cluster37_1 = -0.0
cluster21_cluster37_2 = 0.0
cluster21_cluster38_0 = 0.0
cluster21_cluster38_1 = -0.0
cluster21_cluster38_2 = -0.0
cluster21_cluster44_0 = 1.0
cluster21_cluster44_1 = 6.0
cluster21_cluster44_2 = 0.0
cluster21_cluster49_0 = 0.0
cluster21_cluster49_1 = -0.0
cluster21_cluster49_2 = -0.0
cluster22_cluster4_0 = 0.0
cluster22_cluster4_1 = -0.0
cluster22_cluster4_2 = -0.0
cluster22_cluster7_0 = 0.0
cluster22_cluster7_1 = -0.0
cluster22_cluster7_2 = -0.0
cluster22_cluster12_0 = 0.0
cluster22_cluster12_1 = 3.0
cluster22_cluster12_2 = 6.0
cluster22_cluster15_0 = 0.0
cluster22_cluster15_1 = 1.0
cluster22_cluster15_2 = 2.0
cluster22_cluster37_0 = 0.0
cluster22_cluster37_1 = 0.0
cluster22_cluster37_2 = 1.0
cluster22_cluster38_0 = 0.0
cluster22_cluster38_1 = 0.0
cluster22_cluster38_2 = 0.0
cluster22_cluster44_0 = 0.0
cluster22_cluster44_1 = 0.0
cluster22_cluster44_2 = -0.0
cluster22_cluster49_0 = 0.0
cluster22_cluster49_1 = -0.0
cluster22_cluster49_2 = -0.0
cluster23_cluster4_0 = 0.0
cluster23_cluster4_1 = 1.0
cluster23_cluster4_2 = -0.0
cluster23_cluster7_0 = -0.0
cluster23_cluster7_1 = -0.0
cluster23_cluster7_2 = -0.0
cluster23_cluster12_0 = -0.0
cluster23_cluster12_1 = -0.0
cluster23_cluster12_2 = -0.0
cluster23_cluster15_0 = -0.0
cluster23_cluster15_1 = 2.0
cluster23_cluster15_2 = 4.0
cluster23_cluster37_0 = -0.0
cluster23_cluster37_1 = -0.0
cluster23_cluster37_2 = 0.0
cluster23_cluster38_0 = 1.0
cluster23_cluster38_1 = 1.0
cluster23_cluster38_2 = 0.0
cluster23_cluster44_0 = -0.0
cluster23_cluster44_1 = -0.0
cluster23_cluster44_2 = -0.0
cluster23_cluster49_0 = 0.0
cluster23_cluster49_1 = 0.0
cluster23_cluster49_2 = 0.0
cluster24_cluster4_0 = 0.0
cluster24_cluster4_1 = 0.0
cluster24_cluster4_2 = 0.0
cluster24_cluster7_0 = 0.0
cluster24_cluster7_1 = -0.0
cluster24_cluster7_2 = -0.0
cluster24_cluster12_0 = 0.0
cluster24_cluster12_1 = -0.0
cluster24_cluster12_2 = 5.0
cluster24_cluster15_0 = 0.0
cluster24_cluster15_1 = 0.0
cluster24_cluster15_2 = -0.0
cluster24_cluster37_0 = 0.0
cluster24_cluster37_1 = -0.0
cluster24_cluster37_2 = 1.0
cluster24_cluster38_0 = 0.0
cluster24_cluster38_1 = -0.0
cluster24_cluster38_2 = 0.0
cluster24_cluster44_0 = 0.0
cluster24_cluster44_1 = 3.0
cluster24_cluster44_2 = -0.0
cluster24_cluster49_0 = 0.0
cluster24_cluster49_1 = -0.0
cluster24_cluster49_2 = -0.0
cluster25_cluster4_0 = -0.0
cluster25_cluster4_1 = -0.0
cluster25_cluster4_2 = -0.0
cluster25_cluster7_0 = -0.0
cluster25_cluster7_1 = 0.0
cluster25_cluster7_2 = -0.0
cluster25_cluster12_0 = -0.0
cluster25_cluster12_1 = 1.0
cluster25_cluster12_2 = -0.0
cluster25_cluster15_0 = -0.0
cluster25_cluster15_1 = 3.0
cluster25_cluster15_2 = 5.0
cluster25_cluster37_0 = 2.0
cluster25_cluster37_1 = 1.0
cluster25_cluster37_2 = 0.0
cluster25_cluster38_0 = 1.0
cluster25_cluster38_1 = 0.0
cluster25_cluster38_2 = 1.0
cluster25_cluster44_0 = -0.0
cluster25_cluster44_1 = -0.0
cluster25_cluster44_2 = 0.0
cluster25_cluster49_0 = -0.0
cluster25_cluster49_1 = -0.0
cluster25_cluster49_2 = 1.0
cluster26_cluster4_0 = 0.0
cluster26_cluster4_1 = -0.0
cluster26_cluster4_2 = 1.0
cluster26_cluster7_0 = 0.0
cluster26_cluster7_1 = -0.0
cluster26_cluster7_2 = 0.0
cluster26_cluster12_0 = 0.0
cluster26_cluster12_1 = 0.0
cluster26_cluster12_2 = -0.0
cluster26_cluster15_0 = 0.0
cluster26_cluster15_1 = 2.0
cluster26_cluster15_2 = -0.0
cluster26_cluster37_0 = 0.0
cluster26_cluster37_1 = 0.0
cluster26_cluster37_2 = -0.0
cluster26_cluster38_0 = 0.0
cluster26_cluster38_1 = 0.0
cluster26_cluster38_2 = -0.0
cluster26_cluster44_0 = 1.0
cluster26_cluster44_1 = 0.0
cluster26_cluster44_2 = 4.0
cluster26_cluster49_0 = 0.0
cluster26_cluster49_1 = 1.0
cluster26_cluster49_2 = -0.0
cluster27_cluster4_0 = 0.0
cluster27_cluster4_1 = 0.0
cluster27_cluster4_2 = 0.0
cluster27_cluster7_0 = 0.0
cluster27_cluster7_1 = -0.0
cluster27_cluster7_2 = 2.0
cluster27_cluster12_0 = 0.0
cluster27_cluster12_1 = -0.0
cluster27_cluster12_2 = -0.0
cluster27_cluster15_0 = 0.0
cluster27_cluster15_1 = 3.0
cluster27_cluster15_2 = 3.0
cluster27_cluster37_0 = 0.0
cluster27_cluster37_1 = 2.0
cluster27_cluster37_2 = 1.0
cluster27_cluster38_0 = 0.0
cluster27_cluster38_1 = 0.0
cluster27_cluster38_2 = -0.0
cluster27_cluster44_0 = 0.0
cluster27_cluster44_1 = 0.0
cluster27_cluster44_2 = 0.0
cluster27_cluster49_0 = 0.0
cluster27_cluster49_1 = -0.0
cluster27_cluster49_2 = 1.0
cluster28_cluster4_0 = -0.0
cluster28_cluster4_1 = -0.0
cluster28_cluster4_2 = -0.0
cluster28_cluster7_0 = -0.0
cluster28_cluster7_1 = -0.0
cluster28_cluster7_2 = 1.0
cluster28_cluster12_0 = 1.0
cluster28_cluster12_1 = -0.0
cluster28_cluster12_2 = -0.0
cluster28_cluster15_0 = -0.0
cluster28_cluster15_1 = 3.0
cluster28_cluster15_2 = -0.0
cluster28_cluster37_0 = -0.0
cluster28_cluster37_1 = 1.0
cluster28_cluster37_2 = 2.0
cluster28_cluster38_0 = -0.0
cluster28_cluster38_1 = -0.0
cluster28_cluster38_2 = -0.0
cluster28_cluster44_0 = -0.0
cluster28_cluster44_1 = -0.0
cluster28_cluster44_2 = 0.0
cluster28_cluster49_0 = 0.0
cluster28_cluster49_1 = -0.0
cluster28_cluster49_2 = 1.0
cluster29_cluster4_0 = 0.0
cluster29_cluster4_1 = -0.0
cluster29_cluster4_2 = 1.0
cluster29_cluster7_0 = 0.0
cluster29_cluster7_1 = -0.0
cluster29_cluster7_2 = 1.0
cluster29_cluster12_0 = 0.0
cluster29_cluster12_1 = 1.0
cluster29_cluster12_2 = 1.0
cluster29_cluster15_0 = 1.0
cluster29_cluster15_1 = 2.0
cluster29_cluster15_2 = -0.0
cluster29_cluster37_0 = 0.0
cluster29_cluster37_1 = -0.0
cluster29_cluster37_2 = -0.0
cluster29_cluster38_0 = 0.0
cluster29_cluster38_1 = 1.0
cluster29_cluster38_2 = 0.0
cluster29_cluster44_0 = 0.0
cluster29_cluster44_1 = 1.0
cluster29_cluster44_2 = -0.0
cluster29_cluster49_0 = 0.0
cluster29_cluster49_1 = -0.0
cluster29_cluster49_2 = -0.0
cluster30_cluster4_0 = 0.0
cluster30_cluster4_1 = -0.0
cluster30_cluster4_2 = -0.0
cluster30_cluster7_0 = 0.0
cluster30_cluster7_1 = 0.0
cluster30_cluster7_2 = -0.0
cluster30_cluster12_0 = 0.0
cluster30_cluster12_1 = 0.0
cluster30_cluster12_2 = 4.0
cluster30_cluster15_0 = 0.0
cluster30_cluster15_1 = 8.0
cluster30_cluster15_2 = 1.0
cluster30_cluster37_0 = 0.0
cluster30_cluster37_1 = -0.0
cluster30_cluster37_2 = 3.0
cluster30_cluster38_0 = 0.0
cluster30_cluster38_1 = 1.0
cluster30_cluster38_2 = -0.0
cluster30_cluster44_0 = 0.0
cluster30_cluster44_1 = -0.0
cluster30_cluster44_2 = -0.0
cluster30_cluster49_0 = 0.0
cluster30_cluster49_1 = 1.0
cluster30_cluster49_2 = -0.0
cluster31_cluster4_0 = -0.0
cluster31_cluster4_1 = -0.0
cluster31_cluster4_2 = -0.0
cluster31_cluster7_0 = -0.0
cluster31_cluster7_1 = 1.0
cluster31_cluster7_2 = 0.0
cluster31_cluster12_0 = -0.0
cluster31_cluster12_1 = -0.0
cluster31_cluster12_2 = -0.0
cluster31_cluster15_0 = -0.0
cluster31_cluster15_1 = 1.0
cluster31_cluster15_2 = 0.0
cluster31_cluster37_0 = 1.0
cluster31_cluster37_1 = -0.0
cluster31_cluster37_2 = 1.0
cluster31_cluster38_0 = -0.0
cluster31_cluster38_1 = -0.0
cluster31_cluster38_2 = 1.0
cluster31_cluster44_0 = 1.0
cluster31_cluster44_1 = 0.0
cluster31_cluster44_2 = 4.0
cluster31_cluster49_0 = 0.0
cluster31_cluster49_1 = -0.0
cluster31_cluster49_2 = 0.0
cluster32_cluster4_0 = 0.0
cluster32_cluster4_1 = -0.0
cluster32_cluster4_2 = -0.0
cluster32_cluster7_0 = 0.0
cluster32_cluster7_1 = 0.0
cluster32_cluster7_2 = -0.0
cluster32_cluster12_0 = 0.0
